2020-11-30 06:33:25,330 INFO    MainThread:3900573 [wandb_init.py:_log_setup():292] Logging user logs to wandb/run-20201130_063325-10ta8px1/logs/debug.log
2020-11-30 06:33:25,331 INFO    MainThread:3900573 [wandb_init.py:_log_setup():293] Logging internal logs to wandb/run-20201130_063325-10ta8px1/logs/debug-internal.log
2020-11-30 06:33:25,331 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] enabling code saving by default
2020-11-30 06:33:25,331 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] setting env: {}
2020-11-30 06:33:25,331 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] setting user settings: {'save_code': True}
2020-11-30 06:33:25,331 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-11-30 06:33:25,331 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fc4ea8807d0>
2020-11-30 06:33:26,702 INFO    MainThread:3900573 [wandb_run.py:_console_start():1265] atexit reg
2020-11-30 06:33:26,702 INFO    MainThread:3900573 [wandb_run.py:_redirect():1135] redirect: SettingsConsole.WRAP
2020-11-30 06:33:26,703 INFO    MainThread:3900573 [wandb_run.py:_redirect():1166] Wrapping output streams.
2020-11-30 06:33:26,703 INFO    MainThread:3900573 [wandb_run.py:_redirect():1182] Redirects installed.
2020-11-30 06:33:26,703 INFO    MainThread:3900573 [wandb_watch.py:watch():32] Watching
2020-11-30 06:33:31,727 INFO    MainThread:3900573 [wandb_init.py:_pause_backend():214] pausing backend
2020-11-30 06:33:44,880 INFO    MainThread:3900573 [wandb_init.py:_resume_backend():219] resuming backend
2020-11-30 06:33:44,887 INFO    MainThread:3900573 [wandb_init.py:_pause_backend():214] pausing backend
2020-11-30 06:33:45,106 INFO    MainThread:3900573 [wandb_init.py:_resume_backend():219] resuming backend
2020-11-30 06:33:45,109 INFO    MainThread:3900573 [wandb_init.py:_pause_backend():214] pausing backend
2020-11-30 06:33:45,298 INFO    MainThread:3900573 [wandb_init.py:_resume_backend():219] resuming backend
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_init.py:_log_setup():292] Logging user logs to wandb/run-20201130_063345-a2a6cl9y/logs/debug.log
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_init.py:_log_setup():293] Logging internal logs to wandb/run-20201130_063345-a2a6cl9y/logs/debug-internal.log
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] enabling code saving by default
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] setting env: {}
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] setting user settings: {'save_code': True}
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fc4ea8807d0>
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_run.py:finish():972] finishing run whitera2bit/dl_hse_gan/10ta8px1
2020-11-30 06:33:45,307 INFO    MainThread:3900573 [wandb_init.py:_jupyter_teardown():224] cleaning up jupyter logic
2020-11-30 06:33:45,313 INFO    MainThread:3900573 [jupyter.py:save_history():229] saving 22 cells to _session_history.ipynb
2020-11-30 06:33:45,320 INFO    MainThread:3900573 [wandb_run.py:_config_callback():581] config_cb None None {'train_batch_size': 64, 'val_batch_size': 64, 'in_channels': 3, 'out_channels': 3, 'num_downs': 7, 'g_lr': 0.0003, 'epochs_num': 1, 'log_each': 10, 'device': 'cuda:1', '_wandb': {'cli_version': '0.10.5', 'python_version': '3.7.6', 'is_jupyter_run': True, 'is_kaggle_kernel': False, 'framework': 'torch', 'session_history': 'code/_session_history.ipynb'}}
