2020-11-30 06:37:44,239 INFO    MainThread:3901887 [wandb_init.py:_log_setup():292] Logging user logs to wandb/run-20201130_063744-22ig190r/logs/debug.log
2020-11-30 06:37:44,240 INFO    MainThread:3901887 [wandb_init.py:_log_setup():293] Logging internal logs to wandb/run-20201130_063744-22ig190r/logs/debug-internal.log
2020-11-30 06:37:44,240 INFO    MainThread:3901887 [wandb_setup.py:_flush():68] enabling code saving by default
2020-11-30 06:37:44,240 INFO    MainThread:3901887 [wandb_setup.py:_flush():68] setting env: {}
2020-11-30 06:37:44,240 INFO    MainThread:3901887 [wandb_setup.py:_flush():68] setting user settings: {'save_code': True}
2020-11-30 06:37:44,240 INFO    MainThread:3901887 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-11-30 06:37:44,240 INFO    MainThread:3901887 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f2dad545f50>
2020-11-30 06:37:45,475 INFO    MainThread:3901887 [wandb_run.py:_console_start():1265] atexit reg
2020-11-30 06:37:45,476 INFO    MainThread:3901887 [wandb_run.py:_redirect():1135] redirect: SettingsConsole.WRAP
2020-11-30 06:37:45,476 INFO    MainThread:3901887 [wandb_run.py:_redirect():1166] Wrapping output streams.
2020-11-30 06:37:45,477 INFO    MainThread:3901887 [wandb_run.py:_redirect():1182] Redirects installed.
2020-11-30 06:37:45,477 INFO    MainThread:3901887 [wandb_watch.py:watch():32] Watching
